tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-M020,Brisbane,Hard,32.0,A,20170102.0,300.0,105777.0,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6344969199,17.0,2035.0,105453.0,3.0,,Kei Nishikori,R,178.0,JPN,27.0116358658,5.0,4905.0,6-2 2-6 6-3,3.0,F,108.0,7.0,2.0,77.0,52.0,41.0,12.0,13.0,5.0,7.0,4.0,0.0,69.0,49.0,36.0,9.0,12.0,2.0,5.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,299.0,105777.0,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6344969199,17.0,2035.0,105683.0,1.0,,Milos Raonic,R,196.0,CAN,26.0177960301,3.0,5450.0,7-6(7) 6-2,3.0,SF,87.0,4.0,1.0,58.0,36.0,27.0,18.0,10.0,0.0,0.0,4.0,3.0,61.0,28.0,24.0,16.0,10.0,2.0,4.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,298.0,105453.0,3.0,,Kei Nishikori,R,178.0,JPN,27.0116358658,5.0,4905.0,104527.0,2.0,,Stanislas Wawrinka,R,183.0,SUI,31.7672826831,4.0,5315.0,7-6(3) 6-3,3.0,SF,101.0,1.0,1.0,77.0,56.0,37.0,14.0,11.0,4.0,5.0,9.0,2.0,61.0,37.0,27.0,10.0,10.0,0.0,2.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,297.0,105683.0,1.0,,Milos Raonic,R,196.0,CAN,26.0177960301,3.0,5450.0,104745.0,5.0,,Rafael Nadal,L,185.0,ESP,30.5845311431,9.0,3300.0,4-6 6-3 6-4,3.0,QF,140.0,23.0,3.0,97.0,62.0,50.0,16.0,15.0,6.0,7.0,4.0,0.0,84.0,61.0,39.0,14.0,14.0,2.0,4.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,296.0,105777.0,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6344969199,17.0,2035.0,106233.0,4.0,,Dominic Thiem,R,,AUT,23.3319644079,8.0,3415.0,6-3 4-6 6-3,3.0,QF,124.0,3.0,3.0,94.0,52.0,42.0,23.0,14.0,13.0,14.0,6.0,5.0,82.0,37.0,29.0,24.0,14.0,4.0,7.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,295.0,105453.0,3.0,,Kei Nishikori,R,178.0,JPN,27.0116358658,5.0,4905.0,111442.0,,WC,Jordan Thompson,R,,AUS,22.7049965777,79.0,689.0,6-1 6-1,3.0,QF,61.0,3.0,0.0,34.0,19.0,18.0,10.0,7.0,0.0,0.0,1.0,2.0,47.0,28.0,15.0,5.0,7.0,3.0,8.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,294.0,104527.0,2.0,,Stanislas Wawrinka,R,183.0,SUI,31.7672826831,4.0,5315.0,106378.0,,,Kyle Edmund,R,,GBR,21.9849418207,45.0,1001.0,6-7(2) 6-4 6-4,3.0,QF,156.0,11.0,3.0,119.0,67.0,47.0,28.0,16.0,11.0,13.0,2.0,2.0,97.0,65.0,52.0,11.0,16.0,6.0,10.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,293.0,105683.0,1.0,,Milos Raonic,R,196.0,CAN,26.0177960301,3.0,5450.0,106043.0,,,Diego Sebastian Schwartzman,R,,ARG,24.3805612594,52.0,864.0,6-3 6-2,3.0,R16,69.0,12.0,1.0,53.0,40.0,30.0,7.0,9.0,2.0,3.0,0.0,1.0,44.0,29.0,17.0,6.0,8.0,2.0,6.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,292.0,104745.0,5.0,,Rafael Nadal,L,185.0,ESP,30.5845311431,9.0,3300.0,104999.0,,,Mischa Zverev,L,190.0,GER,29.3661875428,51.0,874.0,6-1 6-1,3.0,R16,55.0,1.0,2.0,38.0,18.0,15.0,15.0,7.0,2.0,2.0,2.0,2.0,38.0,25.0,13.0,3.0,7.0,3.0,8.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,291.0,106233.0,4.0,,Dominic Thiem,R,,AUT,23.3319644079,8.0,3415.0,105032.0,,WC,Samuel Groth,R,,AUS,29.2073921971,180.0,320.0,7-6(5) 6-3,3.0,R16,89.0,11.0,1.0,65.0,44.0,36.0,15.0,11.0,4.0,4.0,11.0,1.0,58.0,35.0,34.0,9.0,10.0,3.0,4.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,290.0,105777.0,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6344969199,17.0,2035.0,103917.0,,,Nicolas Mahut,R,190.0,FRA,34.9486652977,39.0,1102.0,6-2 6-4,3.0,R16,65.0,8.0,0.0,46.0,27.0,25.0,12.0,9.0,3.0,3.0,4.0,3.0,52.0,37.0,27.0,4.0,9.0,0.0,3.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,289.0,111442.0,,WC,Jordan Thompson,R,,AUS,22.7049965777,79.0,689.0,103970.0,8.0,,David Ferrer,R,175.0,ESP,34.7542778919,21.0,1785.0,4-6 7-5 7-5,3.0,R16,158.0,5.0,2.0,103.0,65.0,49.0,18.0,17.0,4.0,7.0,2.0,4.0,103.0,64.0,42.0,23.0,17.0,5.0,9.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,288.0,105453.0,3.0,,Kei Nishikori,R,178.0,JPN,27.0116358658,5.0,4905.0,111577.0,,Q,Jared Donaldson,R,,USA,20.2327173169,105.0,570.0,4-6 6-4 6-3,3.0,R16,143.0,3.0,3.0,107.0,66.0,47.0,18.0,15.0,4.0,8.0,6.0,4.0,95.0,54.0,32.0,20.0,14.0,8.0,13.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,287.0,106378.0,,,Kyle Edmund,R,,GBR,21.9849418207,45.0,1001.0,106298.0,6.0,,Lucas Pouille,R,,FRA,22.8583162218,15.0,2156.0,6-3 3-1 RET,3.0,R16,59.0,6.0,1.0,44.0,27.0,22.0,11.0,7.0,4.0,4.0,3.0,2.0,34.0,18.0,15.0,6.0,6.0,3.0,5.0
2017-M020,Brisbane,Hard,32.0,A,20170102.0,286.0,104527.0,2.0,,Stanislas Wawrinka,R,183.0,SUI,31.7672826831,4.0,5315.0,104678.0,,,Viktor Troicki,R,193.0,SRB,30.893908282,29.0,1385.0,7-6(5) 6-4,3.0,R16,89.0,7.0,2.0,64.0,41.0,33.0,15.0,11.0,0.0,1.0,5.0,7.0,71.0,46.0,39.0,8.0,11.0,3.0,5.0
